State,Deaths,Population,Expend
Mississippi,37803,2940057,1.23851e11
North Carolina,112923,10698973,5.53487e11
Oklahoma,47976,4019800,1.79981e11
Virginia,82935,8683619,4.86123e11
West Virginia,27507,1775156,8.4235e10
Louisiana,52339,4590241,2.21485e11
Michigan,110499,10034113,5.24045e11
Massachusetts,63366,6981974,4.83803e11
Idaho,17162,1939033,9.0908e10
Florida,239119,22244823,1.361251e12
Nebraska,18615,1967923,1.03226e11
Washington,69194,7785786,4.729e11
New Mexico,23655,2113344,9.7421e10
South Dakota,9016,909824,4.7927e10
Texas,241441,30029572,1.595278e12
California,313161,39029342,2.52629e12
Alabama,62294,5074296,2.27475e11
Georgia,102342,10912876,5.54573e11
Pennsylvania,147181,12972008,7.3893e11
Missouri,71851,6177957,3.22804e11
Colorado,46787,5839926,3.7488e11
Utah,21886,3380800,1.74396e11
Tennessee,84989,7051339,3.51525e11
Wyoming,5905,581381,3.3257e10
New York,173944,19677151,1.248145e12
Kansas,31551,2937150,1.4511e11
Nevada,30960,3177772,1.72658e11
Illinois,122963,12582032,7.32059e11
Vermont,6971,647064,3.8173e10
Montana,11684,1122867,6.2603e10
Iowa,33973,3200517,1.534e11
South Carolina,61052,5282634,2.64656e11
New Hampshire,14515,1395231,9.2406e10
Arizona,74082,7359197,4.00704e11
District of Columbia,5385,671803,6.249e10
New Jersey,81490,9261699,5.92882e11
Maryland,56456,6164660,3.46417e11
Maine,17364,1385340,8.4093e10
Delaware,11351,1018396,5.9512e10
Rhode Island,10704,1093734,6.1338e10
Kentucky,57053,4512310,2.1396e11
Ohio,138209,11756058,5.96163e11
Wisconsin,60590,5892539,3.10876e11
Oregon,44598,4240137,2.34578e11
North Dakota,7041,779261,4.3728e10
Arkansas,37855,3045637,1.35761e11
Indiana,75368,6833037,3.39863e11
Minnesota,51222,5717184,3.24128e11
Connecticut,34583,3626205,2.3558e11
